,T1 (0.B2),T2 (0.B3),T3 (0.B4)
0,18.828125,18.28125,20.234375
1,19.375000000000004,19.53125,20.703125000000004
2,19.062500000000004,18.671875000000004,20.390625000000004
3,19.140625,18.90625,20.546875
4,18.90625,19.140625,20.859375
5,18.515625,18.515625,19.84375
6,19.21875,19.296874999999996,20.312500000000004
7,18.90625,19.140625,21.40625
8,19.609375,19.921875,21.09375
9,18.671875000000004,18.828125,20.234375
10,19.21875,18.59375,20.78125
11,18.59375,19.296874999999996,20.234375
12,18.984375000000004,18.90625,20.937500000000004
13,19.140625,20.000000000000004,21.171875
14,19.062500000000004,19.21875,21.09375
15,19.21875,19.765625000000004,20.703125000000004
16,19.609375,19.296874999999996,21.5625
17,19.296874999999996,18.90625,21.249999999999996
18,19.453125,19.21875,21.40625
19,19.296874999999996,19.53125,20.937500000000004
20,19.687500000000004,19.687500000000004,20.703125000000004
21,19.687500000000004,19.453125,20.937500000000004
22,19.140625,19.21875,21.249999999999996
23,18.046875000000004,18.359375000000004,20.390625000000004
24,19.062500000000004,18.828125,21.171875
25,19.453125,19.296874999999996,21.328125000000004
26,20.390625000000004,20.078125000000004,21.796875
27,19.84375,19.687500000000004,20.46875
28,19.453125,19.921875,21.015625000000004
29,19.609375,18.828125,21.171875
30,19.375000000000004,19.53125,21.328125000000004
31,19.921875,19.296874999999996,21.015625000000004
32,19.84375,20.15625,21.953125000000004
33,20.390625000000004,20.234375,21.640625000000004
34,19.84375,19.53125,21.796875
35,20.546875,20.078125000000004,22.031250000000004
36,19.21875,20.078125000000004,21.796875
37,18.28125,19.140625,21.09375
38,18.828125,19.21875,20.703125000000004
39,19.609375,19.687500000000004,21.40625
40,20.546875,20.390625000000004,22.031250000000004
41,20.390625000000004,20.390625000000004,21.328125000000004
42,19.609375,20.546875,21.718750000000004
43,19.921875,20.15625,21.328125000000004
44,19.21875,19.84375,21.875
45,20.078125000000004,20.15625,22.265625000000004
46,19.921875,20.15625,22.109375
47,20.000000000000004,20.546875,21.718750000000004
48,19.53125,19.765625000000004,20.703125000000004
49,19.609375,20.078125000000004,21.40625
50,19.765625000000004,19.296874999999996,21.953125000000004
51,20.078125000000004,20.625000000000004,22.1875
52,19.375000000000004,19.296874999999996,21.484375
53,20.703125000000004,20.390625000000004,21.640625000000004
54,19.140625,19.140625,21.249999999999996
55,20.078125000000004,20.937500000000004,22.031250000000004
56,20.390625000000004,19.53125,21.640625000000004
57,20.234375,19.921875,21.718750000000004
58,20.15625,20.234375,21.5625
59,20.390625000000004,21.015625000000004,21.875
60,19.687500000000004,19.84375,21.640625000000004
61,19.84375,20.312500000000004,21.640625000000004
62,19.687500000000004,20.078125000000004,21.953125000000004
63,20.312500000000004,18.90625,20.625000000000004
64,19.375000000000004,19.609375,21.015625000000004
65,19.453125,20.000000000000004,21.718750000000004
66,20.000000000000004,19.687500000000004,21.40625
67,19.140625,18.59375,21.015625000000004
68,19.84375,19.765625000000004,21.171875
69,18.359375000000004,19.609375,21.718750000000004
70,20.000000000000004,20.859375,21.796875
71,20.312500000000004,19.84375,21.796875
72,20.000000000000004,20.390625000000004,21.718750000000004
73,22.265625000000004,20.15625,22.1875
74,20.000000000000004,20.15625,21.249999999999996
75,19.84375,19.687500000000004,21.796875
76,19.53125,19.296874999999996,21.015625000000004
77,19.921875,20.15625,21.875
78,19.609375,20.15625,22.343750000000004
79,20.546875,20.937500000000004,22.8125
80,19.765625000000004,19.921875,21.640625000000004
81,20.703125000000004,19.921875,20.78125
82,20.312500000000004,20.15625,21.796875
83,20.15625,19.921875,21.796875
84,20.46875,20.46875,22.421875
85,20.078125000000004,20.234375,22.343750000000004
86,19.921875,20.625000000000004,21.953125000000004
87,19.765625000000004,19.609375,21.875
88,20.15625,20.312500000000004,21.40625
89,20.859375,20.078125000000004,21.796875
90,20.234375,20.15625,21.640625000000004
91,18.28125,19.453125,21.718750000000004
92,19.296874999999996,20.312500000000004,21.328125000000004
93,20.078125000000004,19.609375,21.718750000000004
94,18.671875000000004,19.062500000000004,20.78125
95,19.53125,20.234375,21.171875
96,19.53125,19.453125,21.640625000000004
97,20.546875,20.390625000000004,22.343750000000004
98,19.53125,20.46875,22.031250000000004
99,20.546875,20.546875,21.875
100,20.234375,20.312500000000004,21.718750000000004
101,20.859375,20.312500000000004,22.109375
102,20.078125000000004,19.765625000000004,21.640625000000004
103,20.46875,20.390625000000004,21.5625
104,21.484375,20.46875,22.1875
105,20.15625,19.765625000000004,21.875
106,19.687500000000004,20.390625000000004,22.031250000000004
107,20.390625000000004,20.15625,22.1875
108,20.078125000000004,20.625000000000004,21.640625000000004
109,19.53125,20.546875,21.718750000000004
110,20.859375,20.390625000000004,22.109375
111,19.609375,19.921875,21.484375
112,20.703125000000004,20.625000000000004,22.265625000000004
113,21.015625000000004,20.78125,22.578125000000004
114,21.328125000000004,21.171875,22.734375
115,20.234375,20.859375,23.281250000000004
116,22.031250000000004,21.328125000000004,22.890625000000004
117,22.421875,22.343750000000004,23.906250000000004
118,20.625000000000004,20.859375,22.421875
119,19.140625,19.84375,21.328125000000004
120,19.296874999999996,20.546875,22.265625000000004
121,19.765625000000004,20.390625000000004,21.718750000000004
122,21.015625000000004,20.78125,22.421875
123,20.859375,20.937500000000004,22.8125
124,19.53125,19.84375,21.09375
125,19.84375,20.937500000000004,21.875
126,20.625000000000004,20.703125000000004,22.421875
127,22.265625000000004,21.171875,23.046875
128,20.937500000000004,21.249999999999996,22.968750000000004
129,21.171875,21.09375,23.046875
130,20.78125,20.703125000000004,22.421875
131,20.312500000000004,20.859375,22.578125000000004
132,20.937500000000004,21.015625000000004,22.734375
133,21.171875,21.171875,22.5
134,21.171875,21.328125000000004,22.656250000000004
135,21.40625,20.937500000000004,22.265625000000004
136,21.5625,21.328125000000004,22.656250000000004
137,20.46875,20.625000000000004,22.343750000000004
138,21.09375,20.000000000000004,21.953125000000004
139,20.625000000000004,21.171875,22.734375
140,20.937500000000004,21.171875,23.046875
141,21.249999999999996,20.078125000000004,22.109375
142,19.765625000000004,20.546875,22.421875
143,20.546875,20.546875,22.031250000000004
144,20.703125000000004,20.859375,22.343750000000004
145,18.90625,20.234375,21.5625
146,20.390625000000004,20.546875,21.718750000000004
147,22.265625000000004,21.484375,23.046875
148,21.09375,20.546875,22.656250000000004
149,20.234375,21.015625000000004,22.578125000000004
150,20.234375,20.46875,22.343750000000004
151,21.40625,20.937500000000004,22.578125000000004
152,20.234375,20.546875,22.265625000000004
153,21.718750000000004,20.859375,22.8125
154,20.234375,20.390625000000004,21.328125000000004
155,21.171875,20.390625000000004,22.890625000000004
156,21.015625000000004,20.312500000000004,22.031250000000004
157,21.015625000000004,20.46875,22.656250000000004
158,20.312500000000004,21.640625000000004,23.125
159,20.312500000000004,20.859375,22.343750000000004
160,21.328125000000004,21.015625000000004,22.890625000000004
161,21.09375,19.921875,22.578125000000004
162,22.109375,20.078125000000004,21.718750000000004
163,21.015625000000004,20.937500000000004,22.8125
164,21.953125000000004,21.640625000000004,23.593750000000004
165,22.343750000000004,21.328125000000004,22.734375
166,20.859375,21.328125000000004,22.890625000000004
167,21.875,21.171875,23.046875
168,21.015625000000004,21.40625,22.968750000000004
169,20.390625000000004,20.234375,22.343750000000004
170,21.640625000000004,20.546875,22.343750000000004
171,22.343750000000004,22.1875,23.828125
172,20.390625000000004,20.937500000000004,22.578125000000004
173,21.953125000000004,22.890625000000004,23.984375000000004
174,22.343750000000004,22.890625000000004,23.671875000000004
175,20.937500000000004,21.015625000000004,22.343750000000004
176,21.484375,21.484375,23.203124999999996
177,20.937500000000004,21.015625000000004,22.343750000000004
178,21.171875,20.859375,22.031250000000004
179,20.78125,21.09375,22.968750000000004
180,20.46875,20.859375,22.734375
181,21.484375,21.09375,22.8125
182,21.718750000000004,22.031250000000004,23.515625
183,21.875,20.46875,22.890625000000004
184,20.546875,21.328125000000004,22.890625000000004
185,20.46875,20.15625,21.953125000000004
